Male~Software / Tech~>$1M~0%-25%~$10M-20M,3,0,0,0,0,0,0,0,0,0,0,0
Male~Software / Tech~>$1M~0%-25%~>$20M,2,0,0,0,0,0,0,0,0,0,0,0
Male~Travel~$0-$250k~0%-25%~$1M-$10M,3,1,200000.0,0.33,606061.0,0,0,0,0,1,0,0,200000.0,0.15,1333333.0
Male~Travel~$250k-$500k~0%-25%~$1M-$10M,2,1,300000.0,0.4,750000.0,0,0,0,0,0,1,0,300000.0,0.1,3000000.0
Male~Travel~$500k-$750k~25%-50%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Travel~$750k-$1M~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Travel~>$1M~50%-100%~$10M-20M,1,1,5000000.0,0.5,10000000.0,0,0,0,0,1,0,0,5000000.0,0.5,10000000.0
Male~Uncertain / Other~$0-$250k~0%-25%~<$1M,4,1,150000.0,0.3,500000.0,0,0,0,0,0,0,1,150000.0,0.2,750000.0
Male~Uncertain / Other~$0-$250k~0%-25%~$1M-$10M,1,1,600000.0,0.5,1200000.0,0,0,0,0,1,0,1,150000.0,0.1,1500000.0
Male~Uncertain / Other~$0-$250k~25%-50%~<$1M,2,0,0,0,0,0,0,0,0,0,0,0
Male~Uncertain / Other~$0-$250k~50%-100%~<$1M,1,1,25000.0,0.7,35714.0,0,0,0,1,0,0,0,25000.0,0.51,49020.0
Male~Uncertain / Other~$250k-$500k~25%-50%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Uncertain / Other~$500k-$750k~0%-25%~$10M-20M,2,1,500000.0,0.12,4166667.0,0,1,0,0,0,0,0,500000.0,0.05,10000000.0
Male~Uncertain / Other~$500k-$750k~25%-50%~$1M-$10M,1,1,1250000.0,1.0,1250000.0,0,1,0,0,0,0,0,500000.0,0.4,1250000.0
Male~Uncertain / Other~>$1M~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
